"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
53645 - CORDA TORCIDA 14MM ARTEPLAS,"56074900 11881 MARTINS 1 MT 110,30","5,84"
25259 - CORDA TORCIDA 16MM VERDE,"56075090 19626 MARTINS 1 MT 38,00","5,42"
54971 - CORDA TRANCADA 08MM COLOR,"56074900 084133 NEGRAO 1 MT 485,00","2,01"
54423 - CORDA TRANCADA 08MM OURO,"56075090 206067 ORMEL 1 BN -62,00","3,30"
51399 - CORDA TRANCADA 10MM COLOR,"56074900 084134 TAMBASA AT 1 MT 610,36","2,23"
30570 - CORDA TRANCADA 12MM OURO,"56074900 600446 ORMEL 1 MT 1.566,00","3,75"
55816 - CORDA TRANCADA 12MM VERDE,"56074900 601346 ORMEL 1 MT -107,00","3,75"
55741 - CORDA TRANCADA 18MM,"56074900 REGRA 1 MT -160,00","15,18"
53644 - CORDA TRANCADA 19MM VD,"56074900 C1R0219 REGRA 1 MT 5,00","4,56"
18899 - CORDA TRANCADA 3MM COLOR,"56074900 084129 ARMARINHO 1 MT 1.295,20","0,73"
16969 - CORDA TRANCADA 4MM PT/BR/VM,"56074900 009401 TAMBASA AT 1 MT 387,93","1,25"
51343 - CORDA TRANCADA 5MM,"56074900 009402 TAMBASA AT 1 MT 373,50","1,75"
32387 - CORDA TRANCADA 6MM,"56075090 34031 TAMBASA AT 1 MT 275,10","1,85"
46655 - CORDOALHA DE ACO P/CURRAL 1/4,"73182200 INTELLI 1 MT 184,00","2,36"
"54353 - CORRENTE CAO 1,5MM 1.5MT","73158900 12234 TAMBASA AT 1 UN 0,00","5,72"
"54354 - CORRENTE CAO 3,5MM 1.5MT","73158900 12333 TAMBASA AT 1 UN 2,40","12,77"
52707 - CORRENTE FERRO 1/2,"73158200 TAMBASA AT 1 KG -0,10","22,86"
17981 - CORRENTE GALVANIZADA 12.5 MM,"73158200 32936 TAMBASA AT 1 KG 40,09","31,77"
51213 - CORRENTE GALVANIZADA 3MM 1/8¿,"73158200 062666 TAMBASA AT 1 KG 6,66","55,55"
26182 - CORRENTE GALVANIZADA 4MM 5/32,"73158200 3101536 TAMBASA AT 1 KG 10,02","50,49"
14125 - CORRENTE GALVANIZADA 5MM 3/16,"73158200 3101537 TAMBASA AT 1 KG 1,02","49,42"
Usuário CLAUDIO FILHO,50 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 51
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
31623 - CORRENTE GALVANIZADA 6MM,"73158200 032226 TAMBASA AT 1 KG 11,63","37,37"
26190 - CORRENTE GALVANIZADA 8MM 5/16¿,"73158200 3101539 TAMBASA AT 1 KG 8,76","57,52"
"51225 - CORRENTE GALVONIZADA 9,5 MM","73158200 98430 TAMBASA AT 1 KG -0,60","31,80"
53183 - CORRENTE P/REDE - CARTELA,"73158200 97862 SILVANA 1 UN 7,50","21,77"
43265 - CORRENTE PLASTICA PRETA/AMARELA,"73158200 METASUL 1 MT 0,00","9,82"
6MM,,
55285 - CORTA CURSO 50ML OUROFINO,"30042099 115482 TAMBASA AT 1 UN 4,00","79,32"
52163 - CORTADOR DE ASFALTO 450MM DISPEX,"79070090 RUA CARAJAS CO 1 BR 0,00","10.173,08"
51115 - CORTADOR DE GRAMA MOTOR ABE,"84331100 TRAMONTINA 1 UN 1,00","682,35"
1300W/1,,
51144 - CORTADOR DE GRAMA MOTOR ABE,"84331100 TRAMONTINA 1 UN 1,00","766,14"
1300W/2,,
51536 - CORTADOR DE PEDRA/FERRO 350MM,"84303110 STIHL 1 UN 0,00","4.235,33"
STIHL,,
54985 - CORTADOR DE VIDRO W-MAX,"82055900 071590 001 WURTH 1 UN 0,00","36,65"
"54650 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*BR1 ASTRA S/A 1 UN -4,00","82,16"
"54651 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*E ASTRA S/A 1 UN 5,00","93,97"
"54652 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*E1 ASTRA S/A 1 UN 5,00","96,32"
"54653 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*R ASTRA S/A 1 UN 2,00","82,18"
"54654 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*R1 ASTRA S/A 1 UN 2,00","82,18"
"54655 - CORTINA POLIESTER BOX 1,80MX1,80M","39249000 CORT1/B*U1 ASTRA S/A 1 UN 3,00","96,32"
53976 - COTOVELO GALVANIZADO 90 1.1/4¿,"73071990 992 ALVORADA M 1 UN 0,00","39,24"
19828 - COTOVELO P/CANALETA 90GRAUS,"73182200 ILUMI 1 UN 9,00","0,59"
"50677 - CREMALHEIRA 1,00MT MARCA ROSSI","84839000 DISTECOM 1 UN 7,00","18,98"
51384 - CREMALHEIRA NYLON MOB-400 -,"84743100 FISCHER 1 UN 2,00","48,39"
P/BETON,,
52933 - CRUZETA BBB/PBA/JEL 100MM,"73182200 TIGRE 1 UN 0,00","53,55"
47597 - CRUZETA PBA 100/110MM,"39259090 CORRPLASTI 1 UN 0,00","30,68"
54648 - CRUZETA PBA 50/60MM,"73053100 00000000000 MARINI 1 UN 0,00","35,09"
52932 - CRUZETA PBA 75/85MM,"39259090 CORRPLASTI 1 UN 0,00","11,98"
52934 - CRUZETA RED BBB/PBA/JEL 100X60MM,"73182200 TIGRE 1 UN 0,00","110,86"
52935 - CRUZETA RED BBB/PBA/JEL 200X100MM,"73182200 TIGRE 1 UN 0,00","283,47"
47600 - CRUZETA SOLDAVEL 25MM,"73182200 MARINI 1 UN 0,00","4,99"
47619 - CRUZETA SOLDAVEL 50MM,"73182200 MARINI 1 UN 0,00","16,63"
54901 - CUBA 304 N2 56X34X18CM,"73241000 064806 ARMARINHO 1 UN 1,00","343,73"
FRIS.ACOCUB,,
51218 - CUBA APOIO AREZZO BRANCA,"69109000 JCUBAA JAPI 1 UN 1,00","445,80"
54813 - CUBA APOIO MODENA BR,"69109000 JCUBAMO JAPI 1 UN 2,00","432,65"
50997 - CUBA APOIO QUADRADO 38X38X14CM,"69109000 TAMBASA AT 1 UN 0,00","276,68"
ACQU,,
51036 - CUBA APOIO RAVENA BRANCA,"69109000 JCUBAR JAPI 1 UN 2,00","392,23"
51037 - CUBA APOIO RAVENA PRETA,"69109000 JCUBARP JAPI 1 UN 1,00","632,51"
51409 - CUBA APOIO RETANGULAR 41X31,"69109000 ICASA 1 UN 0,00","235,38"
BRANCO,,
51038 - CUBA APOIO TURIM BRANCA,"69109000 JCUBAT JAPI 1 UN 0,00","416,68"
335X335X140,,
51039 - CUBA APOIO VENEZA BRANCA,"69109000 JCUBAV JAPI 1 UN 2,00","508,30"
460X345X15,,
51159 - CUBA APOIO VENEZA CERAMICA PRETA,"69109000 JAPI 1 UN 1,00","560,52"
51996 - CUBA DE APOIO NOVA BOLONHA BR,"69109000 JCUBABN JAPI 1 UN 0,00","327,70"
55283 - CUBA DE EMBUTIR OVAL - JAPI,"69109000 JCEO1 JAPI 1 UN 4,00","112,75"
52333 - CUBA DE VIDRO ABAOLADA AZUL,"70200090 1 DECKOL 1 UN 1,00","457,28"
52332 - CUBA DE VIDRO ABAOLADA FUME,"70200090 4 DECKOL 1 UN 0,00","482,14"
52331 - CUBA DE VIDRO ABAOLADA INCOLOR,"70200090 DC 80 DECKOL 1 UN 0,00","334,82"
Usuário CLAUDIO FILHO,51 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 52
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
52334 - CUBA DE VIDRO ABAOLADA VERDE,"70200090 DC 83 DECKOL 1 UN 0,00","354,63"
52328 - CUBA DE VIDRO CHANDRADA FUME,"70200090 11 DECKOL 1 UN 2,00","482,14"
52327 - CUBA DE VIDRO CHANDRADA INCOLOR,"70200090 15 DECKOL 1 UN 1,00","409,48"
52098 - CUBA DE VIDRO CHANFRADA AZUL,"70200090 10 DECKOL 1 UN 0,00","457,26"
52482 - CUBA DE VIDRO JASPE DIAME.,"70200090 CP/J*VM ASTRA S/A 1 UN 0,00","614,59"
42X14CM,,
52329 - CUBA DE VIDRO OVAL AZUL,"70200090 DC 32 DECKOL 1 UN 0,00","374,44"
52330 - CUBA DE VIDRO OVAL VERDE,"70200090 32 DECKOL 1 UN 1,00","434,31"
52337 - CUBA DE VIDRO QUADRADA AZUL,"70200090 36 DECKOL 1 UN 2,00","334,82"
52335 - CUBA DE VIDRO QUADRADA INCOLOR,"70200090 46 DECKOL 1 UN 0,00","362,08"
52336 - CUBA DE VIDRO QUADRADE FUME,"70200090 45 DECKOL 1 UN 3,00","459,17"
52338 - CUBA DE VIDRO QUADRADE VERDE,"70200090 DC 23 DECKOL 1 UN 0,00","315,01"
52326 - CUBA DE VIDRO REDONDA AZUL,"70200090 52 DECKOL 1 UN 0,00","295,20"
52324 - CUBA DE VIDRO REDONDA FUME,"70200090 DC 11 DECKOL 1 UN 0,00","315,01"
52325 - CUBA DE VIDRO REDONDA VERDE,"70200090 64 DECKOL 1 UN 2,00","275,39"
52114 - CUBA DE VIDRO TURMALINA,"70200090 CP/T*VM ASTRA S/A 1 UN 1,00","600,47"
54X36X16CM,,
53506 - CUBA EMBUTIR OVAL 40X30 AREIA,"69109000 IL6502 ICASA 1 UN 0,00","107,78"
50658 - CUBA EMBUTIR OVAL 40X30 BRANCA,"69109000 IL6500 ICASA 1 UN 8,00","109,50"
53819 - CUBA EMBUTIR OVAL 40X30 CZ CLARO,"69109000 IL6503 ICASA 1 UN 0,00","103,69"
50659 - CUBA EMBUTIR OVAL 40X30 PRETA,"69109000 ICASA 1 MT 0,00","79,75"
51107 - CUBA EMBUTIR OVAL 49X36 AREIA,"69109000 ICASA 1 UN 0,00","61,00"
23809 - CUBA EMBUTIR OVAL 49X36 BRANCA,"69109000 IL600 ICASA 1 UN 8,00","136,00"
50660 - CUBA EMBUTIR OVAL 49X36 CZ CLARO,"69109000 ICASA 1 MT 0,00","32,82"
50655 - CUBA EMBUTIR OVAL 49X36 PALHA,"69109000 ICASA 1 MT 1,00","58,67"
23825 - CUBA EMBUTIR OVAL 49X36 PRETA,"69109000 ICASA 1 UN 18,00","101,04"
23817 - CUBA EMBUTIR OVAL 49X36 SALMAO,"69109000 ICASA 1 UN 3,00","68,27"
34932 - CUBA EMBUTIR OVAL 49X36 VERDE,"69109000 ICASA 1 UN 6,00","61,04"
CLARO,,
51319 - CUBA EMBUTIR REDONDA 36CM AREIA,"69109000 ICASA 1 UN 3,00","71,63"
23833 - CUBA EMBUTIR REDONDA 36CM,"69109000 IL6100 ICASA 1 UN 10,00","130,01"
BRANCA,,
50656 - CUBA EMBUTIR REDONDA 36CM CZ,"69109000 IL6103 ICASA 1 UN 3,00","101,05"
CLARO,,
50657 - CUBA EMBUTIR REDONDA 36CM PALHA,"69109000 ICASA 1 MT 5,00","71,63"
23850 - CUBA EMBUTIR REDONDA 36CM PRETA,"69109000 ICASA 1 UN 8,00","85,75"
23841 - CUBA EMBUTIR REDONDA 36CM,"69109000 ICASA 1 UN 2,00","54,63"
SALMAO,,
34940 - CUBA EMBUTIR REDONDA 36CM VERDE,"69109000 ICASA 1 UN 9,00","71,63"
CLA,,
56429 - CUBA INOX GHELPLUS 460X300X170,"73241000 4807776 GHELPLUS 1 UN -1,00","297,48"
16403 - CUBA INOX RETANGULAR -56X35X17,"73241000 405351 GHELPLUS 1 UN 2,00","319,33"
29661 - CUBA INOX RETANGULAR 47X30 AB,"73241000 94022207 TRAMONTINA 1 UN 0,00","442,42"
29670 - CUBA INOX RETANGULAR 56X34 AB,"73241000 004613 TRAMONTINA 1 UN -1,00","425,62"
44580 - CUBA INOX RETANGULAR,"73241000 94020207 TRAMONTINA 1 UN -1,00","402,39"
TRAMON.40X34AB,,
51765 - CUBA INOX RETANGULAR- 56X35X14,"73241000 404633 GHELPLUS 1 UN 0,00","234,73"
29696 - CUBA LAVABO REDONDA ACO INOX 24,"73241000 94101/207 TRAMONTINA 1 UN 1,00","134,02"
ACA,,
33073 - CUBA LAVABO REDONDA ACO INOX 30,"82019000 TRAMONTINA 1 PC 0,00","113,21"
ACA,,
30082 - CUBA LUZARTE APOIO REDONDA,"73241000 LUZARTE 1 UN 0,00","171,20"
SEXTAVAD,,
52503 - CUBA PETTRA APOLO,"69109000 4252 PETTRA 1 UN 0,00","334,13"
52502 - CUBA PETTRA CHIPRE,"69109000 9078 PETTRA 1 UN 0,00","290,00"
Usuário CLAUDIO FILHO,52 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 53
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
53341 - CUBA PETTRA DIANA,"69109000 4257 PETTRA 1 UN 1,00","638,25"
56524 - CUBA PIAZZA REDONDA BR,"69109000 JCPZRD JAPI 1 UN 0,00","436,82"
56525 - CUBA PIAZZA RETANGULAR BR,"69109000 JCPZRT JAPI 1 UN 0,00","502,44"
51408 - CUBA SEMI-ENCAIXE 43X42 BRANCO,"69109000 ICA500 ICASA 1 UN 0,00","628,26"
54812 - CUBA SOBREPOR BARCELONA BR,"69109000 JCUBABA JAPI 1 UN 2,00","340,36"
53507 - CUBA SOBREPOR OVAL 44X32 BRANCA,"69109000 IL6600 ICASA 1 UN 0,00","108,83"
52097 - CUBA STAR BRANCA,"68109900 06020 DURIM 1 UN 1,00","250,13"
54442 - CUNHA LATAO EMBORRACHADO,"84819090 289009-41 BLUKIT 1 UN 2,00","27,49"
52434 - CUNHA PARA NIVELAMENTO DE PISOS,"39259090 46960 CORTAG 1 UN -539,00","0,79"
56023 - CURVA 45 ACO GALVANIZADO 2.1/2 FF,"85444200 ARMARINHO 1 UN 0,00","2,00"
52868 - CURVA 45 CURTA OCRE DN150,"39174090 43294 CORRPLASTI 1 UN 0,00","70,85"
52941 - CURVA 45 DEFOFO 100MM,"39174090 TIGRE 1 UN 0,00","93,12"
52942 - CURVA 45 DEFOFO 150MM,"39174090 TIGRE 1 UN 0,00","99,60"
52943 - CURVA 45 DEFOFO 200MM,"39174090 TIGRE 1 UN 0,00","149,91"
52944 - CURVA 45 DEFOFO 250MM,"39174090 TIGRE 1 UN 0,00","369,60"
52945 - CURVA 45 DEFOFO 300MM,"39174090 TIGRE 1 UN 0,00","592,31"
53093 - CURVA 45 GALVANIZADO 1.1/2¿,"73063000 TUPY 1 UN 0,00","27,28"
53091 - CURVA 45 GALVANIZADO 2¿,"73063000 TUPY 1 UN 0,00","59,98"
55967 - CURVA 45 SOLD 110MM,"39174090 KRONA 1 UN 0,00","2,06"
54355 - CURVA 45 SOLD 20MM,"39174090 0393 KRONA 1 UN 18,00","2,51"
54356 - CURVA 45 SOLD 25MM,"39174090 0394 KRONA 1 UN 24,00","8,56"
54357 - CURVA 45 SOLD 32MM,"39174090 0395 KRONA 1 UN 6,00","4,56"
54358 - CURVA 45 SOLD 40MM,"39174090 0396 KRONA 1 UN 0,00","6,77"
54359 - CURVA 45 SOLD 50MM,"39174090 0397 KRONA 1 UN 16,00","20,66"
54574 - CURVA 45 SOLD 60MM,"39174090 0398 KRONA 1 UN 5,00","34,43"
55968 - CURVA 45 SOLD 75MM,"39174090 KRONA 1 UN 2,00","84,48"
55969 - CURVA 45 SOLD 85MM,"39174090 KRONA 1 UN 0,00","2,60"
52937 - CURVA 90 100MM DEFOFO,"39174090 39406 TIGRE 1 UN 0,00","293,48"
52939 - CURVA 90 200MM DEFOFO,"39174090 657660 TIGRE 1 UN 0,00","157,08"
52940 - CURVA 90 250MM DEFOFO,"39174090 6576609 TIGRE 1 UN 0,00","379,09"
53034 - CURVA 90 300MM DEFOFO,"39174090 6576609 TIGRE 1 UN 0,00","597,22"
55984 - CURVA 90 ACO GALVANIZADA 2.1/2 FF,"72104990 TUPY 1 UN 0,00","2,00"
51664 - CURVA 90 COL ESG DN100,"39174090 0311700001 CORRPLASTI 1 MT -1,00","36,74"
52393 - CURVA 90 CURTA OCRE DN150,"39174090 CORRPLASTI 1 UN 0,00","43,58"
53090 - CURVA 90 GALVANIZADO 1.1/2¿,"73063000 TUPY 1 UN 0,00","27,28"
53092 - CURVA 90 GALVANIZADO 2¿,"73063000 TUPY 1 UN 0,00","59,98"
52938 - CURVA 90 LONGA OCRE DN 150,"39174090 CORRPLASTI 1 UN 0,00","111,37"
52867 - CURVA 90 LONGA SOLDAVEL 110MM,"39174090 000034567 KRONA 1 UN 0,00","87,25"
5304 - CURVA 90 LONGA SOLDAVEL 20MM,"39174090 0406 PLASTUBOS 1 UN 69,00","2,63"
54360 - CURVA 90 LONGA SOLDAVEL 25MM,"39174090 0407 KRONA 1 UN 51,00","5,01"
5274 - CURVA 90 LONGA SOLDAVEL 32MM,"39174090 34692 PLASTUBOS 1 UN 3,00","9,29"
5266 - CURVA 90 LONGA SOLDAVEL 40MM,"39174090 PLASTUBOS 1 UN 9,00","5,89"
5258 - CURVA 90 LONGA SOLDAVEL 50MM,"39174090 28356 FORTLEV 1 UN 7,50","18,73"
5240 - CURVA 90 LONGA SOLDAVEL 60MM,"39174090 34745 PLASTUBOS 1 UN 13,00","38,80"
55970 - CURVA 90 LONGA SOLDAVEL 60MM'',"39174090 PLASTUBOS 1 UN 5,00","43,36"
52870 - CURVA 90 LONGA SOLDAVEL 75MM,"39174090 0412 KRONA 1 UN 0,00","84,48"
52869 - CURVA 90 LONGA SOLDAVEL 85MM,"39174090 43294 KRONA 1 UN 0,00","41,95"
52905 - CURVA 90 PVC 50MM PBA,"39174090 65766 TIGRE 1 UN 0,00","13,09"
52906 - CURVA 90 PVC 60MM PBA,"39174090 65766 TIGRE 1 UN 0,00","14,87"
Usuário CLAUDIO FILHO,53 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 54
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
52907 - CURVA 90 PVC 75MM PBA,"39174090 65766 TIGRE 1 UN 0,00","32,04"
52908 - CURVA 90 PVC 85MM PBA,"39174090 84856 TIGRE 1 UN 0,00","40,26"
54573 - CURVA CURTA 45 ESGOTO 100MM,"39174090 0609 PLASTUBOS 1 UN -2,00","34,28"
53564 - CURVA CURTA 45 ESGOTO 100MM,"39174090 0309970026 CORRPLASTI 1 UN 0,00","97,47"
OCRE,,
52967 - CURVA CURTA 45 ESGOTO 150MM,"39174090 0615 KRONA 1 UN 14,00","78,38"
52968 - CURVA CURTA 45 ESGOTO 200MM,"39174090 0309970026 CORRPLASTI 1 UN 0,00","137,40"
OCRE,,
52969 - CURVA CURTA 45 ESGOTO 250MM,"39174090 0309970027 CORRPLASTI 1 UN 0,00","182,04"
OCRE,,
52970 - CURVA CURTA 45 ESGOTO 300MM,"39174090 0309970028 CORRPLASTI 1 UN 0,00","252,82"
OCRE,,
4260 - CURVA CURTA 45 ESGOTO 75MM,"39174090 23141 PLASTUBOS 1 UN 19,00","6,68"
4251 - CURVA CURTA 90 ESGOTO 100MM,"39174090 11101001 PLASTUBOS 1 UN -1,00","20,99"
50720 - CURVA ELETRODUTO 180 ROSQUE,"39174090 37079 TIGRE 1 UN -8,00","11,65"
1.1/2¿,,
3905 - CURVA ELETRODUTO 180 ROSQUEAVEL,"39174090 AKROS 1 UN -4,00","3,27"
1,,
3891 - CURVA ELETRODUTO 180 ROSQUEAVEL,"39174090 AKROS 1 UN 0,00","4,46"
1.1,,
16764 - CURVA ELETRODUTO 180 ROSQUEAVEL,"39174090 PROVINIL 1 UN 245,00","0,84"
1/2,,
3875 - CURVA ELETRODUTO 180 ROSQUEAVEL,"39174090 INTERTUBOS 1 UN 0,00","5,89"
"2""",,
3913 - CURVA ELETRODUTO 180 ROSQUEAVEL,"39174090 1162 KRONA 1 UN 28,00","7,52"
3/4,,
53152 - CURVA ELETRODUTO 90 ROSQU 1.1/2¿,"39174090 1155 KRONA 1 UN 5,00","24,44"
3948 - CURVA ELETRODUTO 90 ROSQUEAV,"39174090 057330 INTERTUBOS 1 UN 43,00","15,38"
1.1/2,,
3972 - CURVA ELETRODUTO 90 ROSQUEAVEL,"39174090 1151 KRONA 1 UN 92,00","2,61"
1/2¿,,
3956 - CURVA ELETRODUTO 90 ROSQUEAVEL,"39174090 017518 INTERTUBOS 1 UN 66,00","7,68"
1¿,,
3921 - CURVA ELETRODUTO 90 ROSQUEAVEL 2,"39174090 INTERTUBOS 1 UN 4,00","4,13"
3964 - CURVA ELETRODUTO 90 ROSQUEAVEL,"39174090 017517 KRONA 1 UN 57,00","4,56"
3/4¿,,
53123 - CURVA ELETRODUTO 90 ROSQUEAVEL,"39174090 3964 TAMBASA AT 1 UN 0,00","68,30"
3¿,,
51412 - CURVA ESGOTO 45 CURTA 150MM,"39174090 000000000000096 PLASTUBOS 1 UN 6,00","22,49"
52381 - CURVA ESGOTO 90 150MM,"39174090 PLASTUBOS 1 UN 0,00","42,70"
45454 - CURVA ESGOTO 90 CURTA 100MM,"39174090 000000000000096 PLASTUBOS 1 UN 135,00","28,17"
51193 - CURVA ESGOTO 90 CURTA 40MM,"39174090 28229 PLASTUBOS 1 UN -25,00","5,62"
51130 - CURVA ESGOTO 90 CURTA 50MM,"39174090 28273 PLASTUBOS 1 UN -1,00","12,79"
